period,trip_count,avg_tip_amount,avg_tip_rate,avg_fare_amount,avg_trip_distance
Holiday Season,2589612,4.37,0.2458,20.65,3.45
Normal Baseline,2678786,4.22,0.2547,18.7,3.31
