period,trip_count,avg_tip_amount,avg_tip_rate,avg_fare_amount,avg_trip_distance
Holiday Season,2594102,4.4,0.2486,20.67,3.52
Normal Baseline,2682721,4.24,0.2613,18.72,3.41
