"study_period","trip_count","avg_tip_amount","avg_tip_rate","avg_fare_amount","avg_trip_distance"
"Holiday Season","22805984","4.22","0.2486","19.03","3.24"
"Normal Baseline","31326114","4.28","0.2473","19.33","3.35"
