period,pickup_borough,pickup_zone,trip_count,avg_tip_amount,avg_tip_rate,avg_fare_amount
Holiday Season,Brooklyn,East Flatbush/Farragut,1061,0.06,0.0016,32.21
Holiday Season,Brooklyn,Flatlands,1325,0.04,0.0013,35.24
Holiday Season,Brooklyn,East New York,2956,0.06,0.0012,35.54
Holiday Season,Brooklyn,East Flatbush/Remsen Village,1256,0.02,7.0E-4,32.34
Holiday Season,Brooklyn,Brownsville,1651,0.02,7.0E-4,34.89
Holiday Season,Brooklyn,Canarsie,1781,0.01,6.0E-4,37.22
Normal Baseline,Manhattan,Flatiron,44907,3.39,0.2726,13.81
Normal Baseline,Manhattan,Upper East Side South,132450,3.2,0.2726,12.75
Normal Baseline,Manhattan,Upper West Side South,74472,3.41,0.272,13.71
Normal Baseline,Manhattan,Greenwich Village North,40618,3.48,0.2711,13.97
Normal Baseline,Manhattan,Clinton East,68424,3.61,0.2708,14.88
Normal Baseline,Manhattan,Lincoln Square East,86644,3.48,0.2708,13.98
Normal Baseline,Manhattan,Union Sq,80861,3.44,0.2679,13.91
Normal Baseline,Manhattan,Midtown North,80061,3.95,0.2679,16.08
Normal Baseline,Manhattan,Lenox Hill West,63142,3.09,0.2677,12.72
Normal Baseline,Manhattan,Sutton Place/Turtle Bay North,47018,3.44,0.2675,14.02
Normal Baseline,Manhattan,Yorkville West,49559,3.15,0.2663,13.12
Normal Baseline,Manhattan,Times Sq/Theatre District,95486,4.44,0.2662,18.54
Normal Baseline,Manhattan,Midtown East,99744,3.78,0.2661,15.44
Normal Baseline,Manhattan,Upper East Side North,116451,3.22,0.2656,13.19
Normal Baseline,Manhattan,Midtown Center,136304,3.93,0.265,15.96
Normal Baseline,Manhattan,Midtown South,61343,3.71,0.2639,15.48
Normal Baseline,Manhattan,Lincoln Square West,27989,3.19,0.2638,13.35
Normal Baseline,Manhattan,Murray Hill,77883,3.61,0.2637,14.96
Normal Baseline,Manhattan,Upper West Side North,48611,3.3,0.2633,13.77
Normal Baseline,Manhattan,Gramercy,54320,3.38,0.2622,14.07
Normal Baseline,Manhattan,East Chelsea,74604,3.88,0.2618,16.19
Normal Baseline,Manhattan,West Village,65656,3.42,0.2613,14.2
Normal Baseline,Manhattan,Central Park,39315,3.62,0.2611,14.92
Normal Baseline,Manhattan,Hudson Sq,14084,3.69,0.2594,15.76
Normal Baseline,Manhattan,Garment District,40582,3.66,0.2585,15.71
Normal Baseline,Manhattan,Clinton West,13506,3.32,0.2584,14.48
Normal Baseline,Manhattan,UN/Turtle Bay South,29507,3.85,0.2578,16.46
Normal Baseline,Manhattan,West Chelsea/Hudson Yards,49150,3.75,0.2577,15.7
Normal Baseline,Manhattan,Yorkville East,33603,3.33,0.2576,14.11
