period,pickup_borough,pickup_zone,trip_count,avg_tip_amount,avg_tip_rate,avg_fare_amount
Holiday Season,Queens,Jamaica,1143,2.4,0.0367,46.81
Holiday Season,Brooklyn,Bedford,1039,0.33,0.0179,29.9
Holiday Season,Brooklyn,Bushwick South,1006,0.4,0.0174,30.67
Holiday Season,Brooklyn,Stuyvesant Heights,1417,0.15,0.0077,30.61
Holiday Season,Brooklyn,Crown Heights North,2451,0.16,0.0075,31.19
Holiday Season,Brooklyn,Prospect-Lefferts Gardens,1735,0.12,0.0067,30.75
Holiday Season,Brooklyn,Flatbush/Ditmas Park,1702,0.17,0.006,33.16
Holiday Season,Brooklyn,Ocean Hill,1098,0.14,0.0053,34.37
Holiday Season,Brooklyn,East Flatbush/Remsen Village,1258,0.07,0.0032,32.32
Holiday Season,Brooklyn,Coney Island,1217,0.07,0.0017,43.05
Holiday Season,Bronx,East Concourse/Concourse Village,1041,0.02,0.0016,33.39
Holiday Season,Brooklyn,East Flatbush/Farragut,1061,0.06,0.0016,32.21
Holiday Season,Brooklyn,Flatlands,1325,0.04,0.0013,35.24
Holiday Season,Brooklyn,Canarsie,1782,0.01,0.0012,37.21
Holiday Season,Brooklyn,East New York,2957,0.06,0.0012,35.66
Holiday Season,Brooklyn,Brownsville,1651,0.02,7.0E-4,34.89
Normal Baseline,Queens,LaGuardia Airport,93097,10.45,0.318,43.42
Normal Baseline,Queens,Sunnyside,1498,7.5,0.3007,44.72
Normal Baseline,Manhattan,Lincoln Square West,28026,3.21,0.2767,13.35
Normal Baseline,Manhattan,Flatiron,44981,3.41,0.2751,13.82
Normal Baseline,Manhattan,Clinton East,68563,3.64,0.2748,14.88
Normal Baseline,Manhattan,Upper East Side South,132601,3.21,0.2743,12.75
Normal Baseline,Manhattan,Lincoln Square East,86770,3.5,0.2741,13.98
Normal Baseline,Manhattan,Upper West Side South,74551,3.42,0.2736,13.71
Normal Baseline,Manhattan,Greenwich Village North,40672,3.49,0.2734,13.96
Normal Baseline,Manhattan,Union Sq,80981,3.45,0.27,13.91
Normal Baseline,Manhattan,Midtown North,80165,3.96,0.2698,16.08
Normal Baseline,Manhattan,Lenox Hill West,63219,3.1,0.2694,12.72
Normal Baseline,Manhattan,Times Sq/Theatre District,95665,4.47,0.269,18.55
