period,high_tip_trip_count,avg_high_tip_amount,avg_high_tip_rate,avg_fare_amount,avg_trip_distance
Holiday Season,79627,12.72,0.9994,37.32,6.52
Normal Baseline,72755,11.06,0.7962,31.62,5.98
